Month,province,hotspot_count,NDVI,NDMI
2017-08,Chiang Mai,0.0,0.37022553710989486,0.20729921454963068
2017-08,Mae Hong Son,0.0,0.28432632281146,0.20142759060854845
2017-08,Nan,0.0,0.45482272580977934,0.24283539920072844
2017-08,Uttaradit,0.0,0.5282507104551051,0.26338339971493063
2017-09,Chiang Mai,0.0,0.5622533234481569,0.23138981501773562
2017-09,Mae Hong Son,0.0,0.5579737448121267,0.24969061097026843
2017-09,Nan,15.0,0.6285798455637842,0.2663195469421956
2017-09,Uttaradit,0.0,0.5950666191704882,0.2561465464943023
2017-10,Chiang Mai,0.0,0.6316943694631871,0.2436170877619342
2017-10,Mae Hong Son,0.0,0.659494051799144,0.2684431745550866
2017-10,Nan,9.0,0.6683258363661563,0.2632988034356478
2017-10,Uttaradit,0.0,0.6919486677591348,0.2511880297464204
2017-11,Chiang Mai,10.105882352941176,0.6892891118389721,0.22701217049210648
2017-11,Mae Hong Son,0.0,0.7475392713864876,0.269068229748115
2017-11,Nan,0.0,0.7738150512460572,0.2562767711105868
2017-11,Uttaradit,53.0,0.7235521220985632,0.21451786172234624
2017-12,Chiang Mai,119.72549019607843,0.6284897809585702,0.1855939192584075
2017-12,Mae Hong Son,17.270588235294117,0.7492777741904139,0.24164393348748395
2017-12,Nan,50.0,0.7433883061037807,0.21238870352948078
2017-12,Uttaradit,212.89411764705883,0.6876390988952689,0.15768200655210374
2018-01,Chiang Mai,217.6745098039216,0.6533981570915665,0.15608965055733573
2018-01,Mae Hong Son,30.901960784313726,0.7021219743527841,0.2007379259493104
2018-01,Nan,133.86666666666667,0.7029071667331788,0.16950084961763742
2018-01,Uttaradit,155.34117647058824,0.6481269375398996,0.11445227667557548
2018-02,Chiang Mai,1714.2156862745098,0.6528498572890911,0.11610884631583433
2018-02,Mae Hong Son,585.0431372549018,0.7064239429341236,0.15680565438375918
2018-02,Nan,433.4627450980392,0.6438545092872133,0.12521182763051047
2018-02,Uttaradit,250.0039215686275,0.5786812039029989,0.05387081322742699
2018-03,Chiang Mai,1088.9098039215685,0.603923375272264,0.07528285654388016
2018-03,Mae Hong Son,3278.9882352941167,0.5965033655649913,0.06432405022159156
2018-03,Nan,1162.4509803921565,0.62900585307209,0.11017024170974483
2018-03,Uttaradit,567.9843137254901,0.561078733838688,0.05779551827320549
2018-04,Chiang Mai,1143.2235294117643,0.6148342018308189,0.0981342150070309
2018-04,Mae Hong Son,1935.6196078431376,0.5788764706633074,0.07491434513508721
2018-04,Nan,1932.450980392158,0.6743108682089616,0.15093082743862976
2018-04,Uttaradit,273.79215686274506,0.6091512809903803,0.1004697484823999
2018-05,Chiang Mai,78.32549019607843,0.6005590792768575,0.1998662981818312
2018-05,Mae Hong Son,103.0,0.5752198797913142,0.19574044503763485
2018-05,Nan,85.24313725490197,0.5615512646580331,0.22664006365214068
2018-05,Uttaradit,77.0,0.5590954617600515,0.19938662183430494
2018-06,Chiang Mai,0.0,0.3571456058951231,0.19711641516460904
2018-06,Mae Hong Son,0.0,0.32782843622638097,0.20986324283529212
2018-06,Nan,0.0,0.3777635303233222,0.22189711573192422
2018-06,Uttaradit,6.0,0.502900912076331,0.22355733691827953
2018-07,Chiang Mai,0.0,0.2570172035767963,0.19242723229169018
2018-07,Mae Hong Son,11.0,0.16998080264687437,0.20168252889637592
2018-07,Nan,0.0,0.33755368415726833,0.19705848634029433
2018-07,Uttaradit,0.0,0.3319833464774694,0.2023775908306586
2018-08,Chiang Mai,0.0,0.2540292230524308,0.1970767249501351
2018-08,Mae Hong Son,0.0,0.17943746992289855,0.19617957906319902
2018-08,Nan,0.0,0.304981722274513,0.19987764797660154
2018-08,Uttaradit,5.0,0.34349352077557566,0.21485638168642957
2018-09,Chiang Mai,10.0,0.5891384489954403,0.23508857867706925
2018-09,Mae Hong Son,6.0,0.5478238650832545,0.23999933804731657
2018-09,Nan,9.0,0.6455180151913871,0.2615109571191439
2018-09,Uttaradit,0.0,0.6752053215716363,0.25591377144645683
2018-10,Chiang Mai,20.22352941176471,0.6923987659015023,0.24743017823503058
2018-10,Mae Hong Son,9.450980392156863,0.7253948414385426,0.27161554143663885
2018-10,Nan,12.0,0.7253533706873404,0.26388527523537075
2018-10,Uttaradit,9.0,0.6921278018801663,0.24936060706052385
2018-11,Chiang Mai,6.031372549019608,0.7654618498291481,0.24663117876539326
2018-11,Mae Hong Son,0.0,0.8082894097104854,0.27526882244136114
2018-11,Nan,21.313725490196077,0.7255340713313733,0.2328284212255278
2018-11,Uttaradit,184.0,0.690882225620842,0.20009683263185457
2018-12,Chiang Mai,68.94509803921568,0.7284690706911526,0.20124821682571553
2018-12,Mae Hong Son,0.0,0.7985909356299289,0.2430718295544043
2018-12,Nan,99.14117647058823,0.7599884961832813,0.19989499294971583
2018-12,Uttaradit,273.30980392156863,0.6585255125185812,0.13111640410451114
2019-01,Chiang Mai,109.99215686274512,0.6891014567477667,0.16848232428917373
2019-01,Mae Hong Son,50.0,0.7589139890403175,0.2051352678108835
2019-01,Nan,446.08627450980396,0.6848584592602649,0.15297822220091603
2019-01,Uttaradit,322.7607843137255,0.6002731771751842,0.076106906142406
2019-02,Chiang Mai,3207.988235294117,0.6479035096979213,0.10849958716147334
2019-02,Mae Hong Son,927.1098039215684,0.6935047808622117,0.13580268925293612
2019-02,Nan,2174.1647058823532,0.6531018989037827,0.10952300277388882
2019-02,Uttaradit,903.3098039215687,0.5312742213349918,0.010319337579577856
2019-03,Chiang Mai,4038.7764705882364,0.5963923299704572,0.08560752629829319
2019-03,Mae Hong Son,4821.858823529411,0.5853924419946214,0.06547275852608646
2019-03,Nan,3368.2117647058826,0.6059191635543775,0.09881121751877515
2019-03,Uttaradit,1824.7215686274512,0.5097480505357859,0.006499938864112055
2019-04,Chiang Mai,2807.2117647058803,0.5851109862554966,0.07833753516822131
2019-04,Mae Hong Son,3580.635294117645,0.5690608109650667,0.0682105667059062
2019-04,Nan,2025.6784313725498,0.6055317933935827,0.0879214589771563
2019-04,Uttaradit,647.9921568627453,0.4870947115435665,0.004709577796842873
2019-05,Chiang Mai,1203.83137254902,0.5623234206795026,0.1309008773229885
2019-05,Mae Hong Son,639.0156862745099,0.4695470082741592,0.1321912652648729
2019-05,Nan,603.5647058823529,0.5246231212386445,0.1347625182998317
2019-05,Uttaradit,162.35686274509803,0.43393051241315245,0.0557468074311279
2019-06,Chiang Mai,27.0,0.45310236215391664,0.19518326273570755
2019-06,Mae Hong Son,0.0,0.3907646316614538,0.21689028398017027
2019-06,Nan,16.0,0.4363889588165688,0.1859396132239732
2019-06,Uttaradit,14.0,0.4710050761691317,0.16182399681322573
2019-07,Chiang Mai,0.0,0.35130573632342227,0.20670555899933618
2019-07,Mae Hong Son,9.0,0.303974992530339,0.2160323275235715
2019-07,Nan,3.0,0.42054604021884506,0.202675535974724
2019-07,Uttaradit,0.0,0.4663243671225038,0.1929422349059972
2019-08,Chiang Mai,0.0,0.3702505167218622,0.2017511206955409
2019-08,Mae Hong Son,0.0,0.2845811582992111,0.20649268652294853
2019-08,Nan,0.0,0.34472085262229024,0.2051597827739654
2019-08,Uttaradit,0.0,0.3269246915734364,0.19562867137638412
2019-09,Chiang Mai,0.0,0.6103195698266459,0.23885590488363634
2019-09,Mae Hong Son,6.0,0.6007145404468472,0.26264940120534686
2019-09,Nan,4.0,0.7271631226832249,0.26890937647172886
2019-09,Uttaradit,21.0,0.7371728821850729,0.26269282968384255
2019-10,Chiang Mai,11.0,0.7320765141797626,0.2540855815449237
2019-10,Mae Hong Son,0.0,0.7871263066431762,0.28889283565395973
2019-10,Nan,0.0,0.7655977833418229,0.2616926305994316
2019-10,Uttaradit,41.28235294117647,0.7477258014567946,0.2418904794938701
2019-11,Chiang Mai,91.01960784313725,0.7465791312695694,0.23951724886969517
2019-11,Mae Hong Son,9.0,0.7886652382524965,0.26616722166236023
2019-11,Nan,19.298039215686273,0.7673805689828443,0.2426615148339223
2019-11,Uttaradit,216.04705882352943,0.6882912669644328,0.18833118295287757
2019-12,Chiang Mai,223.2078431372549,0.720888351356223,0.19348320943439296
2019-12,Mae Hong Son,31.031372549019608,0.7765538792140698,0.23237848895034433
2019-12,Nan,129.9764705882353,0.7237459278858588,0.19990417882008277
2019-12,Uttaradit,1020.3490196078432,0.5885095478867259,0.10213542241001135
2020-01,Chiang Mai,1353.8235294117653,0.6709832532443202,0.1381510458176656
2020-01,Mae Hong Son,314.3960784313726,0.726307409939977,0.17999128878737514
2020-01,Nan,370.1490196078431,0.666878884552355,0.1499046538609005
2020-01,Uttaradit,1101.7647058823534,0.5222805151393612,0.034263370192130486
2020-02,Chiang Mai,1771.7411764705885,0.6005313902640628,0.09088635624268737
2020-02,Mae Hong Son,1918.3490196078433,0.6305084531851861,0.10590716514432058
2020-02,Nan,824.6705882352941,0.6074095390222976,0.11466985192016374
2020-02,Uttaradit,974.8627450980392,0.4686562632227128,-0.006227882818223647
2020-03,Chiang Mai,7282.670588235295,0.5394800748038592,0.04249455992501649
2020-03,Mae Hong Son,5707.799999999998,0.5427780351464726,0.04021485897029298
2020-03,Nan,2375.439215686277,0.5777735290371562,0.0680104234482274
2020-03,Uttaradit,790.0313725490198,0.45840851281037276,-0.03811655610730607
2020-04,Chiang Mai,3360.1411764705867,0.545323178495049,0.04969740523341545
2020-04,Mae Hong Son,2448.9529411764706,0.5617625234579271,0.07082454248980023
2020-04,Nan,2249.972549019608,0.5654279011081901,0.08850145497622343
2020-04,Uttaradit,620.8196078431374,0.4522627098893446,-0.012525350219795605
2020-05,Chiang Mai,402.2588235294118,0.6171644707078657,0.17005798576929354
2020-05,Mae Hong Son,76.54509803921569,0.5919172037382249,0.21109574084039245
2020-05,Nan,253.67450980392155,0.6136959270325616,0.13590588503240178
2020-05,Uttaradit,123.0,0.50108456441376,0.04624589268197402
2020-06,Chiang Mai,6.0,0.5004685114806207,0.20593051947226063
2020-06,Mae Hong Son,0.0,0.4510287169782601,0.23593374924259705
2020-06,Nan,9.0,0.5032932047290115,0.2005219551090308
2020-06,Uttaradit,66.0,0.4707579438658551,0.132102779207708
2020-07,Chiang Mai,18.0,0.5251017641869449,0.24385133248110694
2020-07,Mae Hong Son,6.0,0.5062503235794564,0.2634994358728205
2020-07,Nan,0.0,0.5484820504679211,0.2380222316537485
2020-07,Uttaradit,1.2588235294117647,0.5487796176601698,0.2035161396579726
2020-08,Chiang Mai,0.0,0.34208860072000785,0.2242584161652542
2020-08,Mae Hong Son,0.0,0.28678696312290114,0.23951128756801365
2020-08,Nan,0.0,0.4217089414367699,0.24067084627746832
2020-08,Uttaradit,8.117647058823529,0.50615984519793,0.2606008919298409
2020-09,Chiang Mai,6.0,0.5064563441848573,0.24193726065683124
2020-09,Mae Hong Son,0.0,0.48695256504445333,0.24843434791344993
2020-09,Nan,0.0,0.48467830905865444,0.24738893091405575
2020-09,Uttaradit,12.0,0.5225570092682332,0.25559123732011146
2020-10,Chiang Mai,6.0,0.5118144626248974,0.2107204655068581
2020-10,Mae Hong Son,6.0,0.6006348290434728,0.24313337020344428
2020-10,Nan,0.0,0.6177499898584936,0.23345845462311704
2020-10,Uttaradit,18.0,0.5917114519150215,0.230326228416298
2020-11,Chiang Mai,44.0,0.7744256422716432,0.2324424281615422
2020-11,Mae Hong Son,16.0,0.8189950582271551,0.2689023144332677
2020-11,Nan,58.0,0.8020132023179006,0.24591280338720314
2020-11,Uttaradit,199.17254901960786,0.7380738725329739,0.20553880587504428
2020-12,Chiang Mai,347.0980392156863,0.7318386540523769,0.1914792679793871
2020-12,Mae Hong Son,62.60392156862744,0.7652125286337716,0.22330836053947192
2020-12,Nan,99.43137254901963,0.7624902497736151,0.21236532445315762
2020-12,Uttaradit,576.6392156862745,0.6601584771318203,0.1503353628466507
2021-01,Chiang Mai,857.9254901960785,0.6651304977435962,0.13868302413655836
2021-01,Mae Hong Son,583.043137254902,0.6810760683196107,0.16043025539088632
2021-01,Nan,361.235294117647,0.6954539109827834,0.16269590399509903
2021-01,Uttaradit,369.67058823529413,0.5926605914244641,0.09958510595745736
2021-02,Chiang Mai,1362.3803921568626,0.6170292311709752,0.08085219411583096
2021-02,Mae Hong Son,1553.2078431372552,0.613754247688914,0.07603212585631895
2021-02,Nan,262.30980392156863,0.6451429927370281,0.11661776849429772
2021-02,Uttaradit,356.6549019607844,0.5476854166093456,0.03202952582536361
2021-03,Chiang Mai,2374.086274509802,0.5605433990776832,0.0485385909834165
2021-03,Mae Hong Son,3857.8352941176463,0.5162757009344895,0.015678076373682407
2021-03,Nan,436.2117647058824,0.6034331616736385,0.09852594033751476
2021-03,Uttaradit,525.8705882352942,0.5407715155465169,0.03626987272610155
2021-04,Chiang Mai,794.6941176470589,0.6035940141254247,0.10090843983648719
2021-04,Mae Hong Son,1418.4039215686275,0.5172427657919075,0.05874170494835845
2021-04,Nan,392.9999999999999,0.5990746286379642,0.17323138263349677
2021-04,Uttaradit,101.58039215686274,0.6121176553665505,0.14644171060751582
2021-05,Chiang Mai,202.69411764705885,0.632626034680811,0.19744851796375323
2021-05,Mae Hong Son,123.02352941176471,0.6265853097782986,0.21860134166078565
2021-05,Nan,178.28627450980392,0.6337321158324899,0.22725686546227708
2021-05,Uttaradit,122.90980392156862,0.5848319277224566,0.18200861303579405
2021-06,Chiang Mai,18.92549019607843,0.3617873068326134,0.20879447672576876
2021-06,Mae Hong Son,0.0,0.2932875630306803,0.21215470363381994
2021-06,Nan,6.0,0.46062781734485625,0.2141832324918902
2021-06,Uttaradit,0.0,0.5243424173079976,0.20130100290432495
2021-07,Chiang Mai,0.0,0.38409951691525307,0.19801887781334215
2021-07,Mae Hong Son,0.0,0.3391309781045198,0.2099988344051383
2021-07,Nan,14.0,0.4020790528418625,0.21382611510367186
2021-07,Uttaradit,0.0,0.4518612383036907,0.21656071776955277
2021-08,Chiang Mai,0.0,0.4441245819908842,0.22293796500794594
